name,address,distance,distance_type,rating,capaciity,area,price
Myrcella Urban Studio,"Ba Dinh, Hanoi",4.5,km,9.2,4 adult,36m˝,"1,628,585"
Bay Luxury - Le Grand Hanoi Hotel 18 HÖng Qu?t,"Hoan Kiem, Hanoi",0.6,km,8.5,4 adult,null,"2,200,000"
Mai Hotel,"Dong Da, Hanoi",3,km,8.6,4 adult,null,"1,800,000"
Jacayl Hotel TCG,"Cau Giay, Hanoi",6.4,km,8.7,4 adult,null,"2,346,668"
Free Pick Up/6 Bedrooms/16+ People/Rooftop/Center,"Hoan Kiem, Hanoi",150,m,null,4 adult,null,"2,320,000"
Hong Gia Tue Apartment,"Ba Dinh, Hanoi",1.9,km,9.2,4 adult,null,"3,320,000"
Grand Mercure Hanoi,"Dong Da, Hanoi",1.9,km,9.1,4 adult,null,"8,400,000"
Sun Clover Boutique Hotel,"Tay Ho, Hanoi",3.2,km,8.2,4 adult,null,"965,250"
Hilton Garden Inn Hanoi,"Hoan Kiem, Hanoi",1,km,7.9,4 adult,null,"5,775,000"
Atrium Hotel,"Hoan Kiem, Hanoi",0.9,km,6.9,4 adult,null,"982,800"
JW Marriott Hotel Hanoi,Hanoi,7.6,km,8.9,4 adult,null,"13,200,000"
Parosand Hanoi Hotel,"Tay Ho, Hanoi",6,km,8.3,4 adult,null,"1,425,600"
CL?Charming Studio Apt?BALCONY/Laundry?Van Mieu,"Dong Da, Hanoi",2.5,km,9.3,4 adult,null,"1,120,000"
Grand Cititel Hanoi Hotel,"Hoan Kiem, Hanoi",0.5,km,7.6,4 adult,null,"2,198,050"
Drift Backpackers Hostel,"Hoan Kiem, Hanoi",400,m,8.2,4 adult,null,"972,000"
Bay Luxury - Honeymoon Hotel,"Tay Ho, Hanoi",6,km,1,4 adult,null,"1,200,000"
H? Ba M?u Apartment LilyHome,"Dong Da, Hanoi",1.9,km,null,4 adult,null,"1,920,000"
Michi House Ng?c HÖ ??i di?n B?o tÖng HCM,"Ba Dinh, Hanoi",2.3,km,10,4 adult,null,"760,000"
Luna House of the Old Quarter,"Hoan Kiem, Hanoi",0.8,km,null,4 adult,null,"988,800"
Super Hotel Candle,"Ba Dinh, Hanoi",3.6,km,8.4,4 adult,null,"3,168,000"
Kem homestay,"Hoan Kiem, Hanoi",1,km,null,4 adult,null,"1,000,000"
ChÖo m?ng ??n The Matrix One,Hanoi,8.4,km,null,4 adult,null,"1,890,000"
Midori Boutique Hotel,"Hai Ba Trung, Hanoi",1.3,km,8.4,4 adult,null,"3,186,000"
Myrcella Urban Studio,"Ba Dinh, Hanoi",4.5,km,9.2,4 adult,36m˝,"1,628,585"
Bay Luxury - Le Grand Hanoi Hotel 18 HÖng Qu?t,"Hoan Kiem, Hanoi",0.6,km,8.5,4 adult,null,"2,200,000"
Mai Hotel,"Dong Da, Hanoi",3,km,8.6,4 adult,null,"1,800,000"
Jacayl Hotel TCG,"Cau Giay, Hanoi",6.4,km,8.7,4 adult,null,"2,346,668"
Free Pick Up/6 Bedrooms/16+ People/Rooftop/Center,"Hoan Kiem, Hanoi",150,m,null,4 adult,null,"2,320,000"
Hong Gia Tue Apartment,"Ba Dinh, Hanoi",1.9,km,9.2,4 adult,null,"3,320,000"
Grand Mercure Hanoi,"Dong Da, Hanoi",1.9,km,9.1,4 adult,null,"8,400,000"
Sun Clover Boutique Hotel,"Tay Ho, Hanoi",3.2,km,8.2,4 adult,null,"965,250"
Hilton Garden Inn Hanoi,"Hoan Kiem, Hanoi",1,km,7.9,4 adult,null,"5,775,000"
Atrium Hotel,"Hoan Kiem, Hanoi",0.9,km,6.9,4 adult,null,"982,800"
JW Marriott Hotel Hanoi,Hanoi,7.6,km,8.9,4 adult,null,"13,200,000"
Parosand Hanoi Hotel,"Tay Ho, Hanoi",6,km,8.3,4 adult,null,"1,425,600"
CL?Charming Studio Apt?BALCONY/Laundry?Van Mieu,"Dong Da, Hanoi",2.5,km,9.3,4 adult,null,"1,120,000"
Grand Cititel Hanoi Hotel,"Hoan Kiem, Hanoi",0.5,km,7.6,4 adult,null,"2,198,050"
Drift Backpackers Hostel,"Hoan Kiem, Hanoi",400,m,8.2,4 adult,null,"972,000"
Bay Luxury - Honeymoon Hotel,"Tay Ho, Hanoi",6,km,1,4 adult,null,"1,200,000"
H? Ba M?u Apartment LilyHome,"Dong Da, Hanoi",1.9,km,null,4 adult,null,"1,920,000"
Michi House Ng?c HÖ ??i di?n B?o tÖng HCM,"Ba Dinh, Hanoi",2.3,km,10,4 adult,null,"760,000"
Luna House of the Old Quarter,"Hoan Kiem, Hanoi",0.8,km,null,4 adult,null,"988,800"
Super Hotel Candle,"Ba Dinh, Hanoi",3.6,km,8.4,4 adult,null,"3,168,000"
Kem homestay,"Hoan Kiem, Hanoi",1,km,null,4 adult,null,"1,000,000"
ChÖo m?ng ??n The Matrix One,Hanoi,8.4,km,null,4 adult,null,"1,890,000"
Midori Boutique Hotel,"Hai Ba Trung, Hanoi",1.3,km,8.4,4 adult,null,"3,186,000"
Myrcella Urban Studio,"Ba Dinh, Hanoi",4.5,km,9.2,4 adult,36m˝,"1,628,585"
Bay Luxury - Le Grand Hanoi Hotel 18 HÖng Qu?t,"Hoan Kiem, Hanoi",0.6,km,8.5,4 adult,null,"2,200,000"
Mai Hotel,"Dong Da, Hanoi",3,km,8.6,4 adult,null,"1,800,000"
Jacayl Hotel TCG,"Cau Giay, Hanoi",6.4,km,8.7,4 adult,null,"2,346,668"
Free Pick Up/6 Bedrooms/16+ People/Rooftop/Center,"Hoan Kiem, Hanoi",150,m,null,4 adult,null,"2,320,000"
Hong Gia Tue Apartment,"Ba Dinh, Hanoi",1.9,km,9.2,4 adult,null,"3,320,000"
Grand Mercure Hanoi,"Dong Da, Hanoi",1.9,km,9.1,4 adult,null,"8,400,000"
Sun Clover Boutique Hotel,"Tay Ho, Hanoi",3.2,km,8.2,4 adult,null,"965,250"
Hilton Garden Inn Hanoi,"Hoan Kiem, Hanoi",1,km,7.9,4 adult,null,"5,775,000"
Atrium Hotel,"Hoan Kiem, Hanoi",0.9,km,6.9,4 adult,null,"982,800"
JW Marriott Hotel Hanoi,Hanoi,7.6,km,8.9,4 adult,null,"13,200,000"
Parosand Hanoi Hotel,"Tay Ho, Hanoi",6,km,8.3,4 adult,null,"1,425,600"
CL?Charming Studio Apt?BALCONY/Laundry?Van Mieu,"Dong Da, Hanoi",2.5,km,9.3,4 adult,null,"1,120,000"
Grand Cititel Hanoi Hotel,"Hoan Kiem, Hanoi",0.5,km,7.6,4 adult,null,"2,198,050"
Drift Backpackers Hostel,"Hoan Kiem, Hanoi",400,m,8.2,4 adult,null,"972,000"
Bay Luxury - Honeymoon Hotel,"Tay Ho, Hanoi",6,km,1,4 adult,null,"1,200,000"
H? Ba M?u Apartment LilyHome,"Dong Da, Hanoi",1.9,km,null,4 adult,null,"1,920,000"
Michi House Ng?c HÖ ??i di?n B?o tÖng HCM,"Ba Dinh, Hanoi",2.3,km,10,4 adult,null,"760,000"
Luna House of the Old Quarter,"Hoan Kiem, Hanoi",0.8,km,null,4 adult,null,"988,800"
Super Hotel Candle,"Ba Dinh, Hanoi",3.6,km,8.4,4 adult,null,"3,168,000"
Kem homestay,"Hoan Kiem, Hanoi",1,km,null,4 adult,null,"1,000,000"
ChÖo m?ng ??n The Matrix One,Hanoi,8.4,km,null,4 adult,null,"1,890,000"
Midori Boutique Hotel,"Hai Ba Trung, Hanoi",1.3,km,8.4,4 adult,null,"3,186,000"
Myrcella Urban Studio,"Ba Dinh, Hanoi",4.5,km,9.2,4 adult,36m˝,"1,628,585"
Bay Luxury - Le Grand Hanoi Hotel 18 HÖng Qu?t,"Hoan Kiem, Hanoi",0.6,km,8.5,4 adult,null,"2,200,000"
Mai Hotel,"Dong Da, Hanoi",3,km,8.6,4 adult,null,"1,800,000"
Jacayl Hotel TCG,"Cau Giay, Hanoi",6.4,km,8.7,4 adult,null,"2,346,668"
Free Pick Up/6 Bedrooms/16+ People/Rooftop/Center,"Hoan Kiem, Hanoi",150,m,null,4 adult,null,"2,320,000"
Hong Gia Tue Apartment,"Ba Dinh, Hanoi",1.9,km,9.2,4 adult,null,"3,320,000"
Grand Mercure Hanoi,"Dong Da, Hanoi",1.9,km,9.1,4 adult,null,"8,400,000"
Sun Clover Boutique Hotel,"Tay Ho, Hanoi",3.2,km,8.2,4 adult,null,"965,250"
Hilton Garden Inn Hanoi,"Hoan Kiem, Hanoi",1,km,7.9,4 adult,null,"5,775,000"
Atrium Hotel,"Hoan Kiem, Hanoi",0.9,km,6.9,4 adult,null,"982,800"
JW Marriott Hotel Hanoi,Hanoi,7.6,km,8.9,4 adult,null,"13,200,000"
Parosand Hanoi Hotel,"Tay Ho, Hanoi",6,km,8.3,4 adult,null,"1,425,600"
CL?Charming Studio Apt?BALCONY/Laundry?Van Mieu,"Dong Da, Hanoi",2.5,km,9.3,4 adult,null,"1,120,000"
Grand Cititel Hanoi Hotel,"Hoan Kiem, Hanoi",0.5,km,7.6,4 adult,null,"2,198,050"
Drift Backpackers Hostel,"Hoan Kiem, Hanoi",400,m,8.2,4 adult,null,"972,000"
Bay Luxury - Honeymoon Hotel,"Tay Ho, Hanoi",6,km,1,4 adult,null,"1,200,000"
H? Ba M?u Apartment LilyHome,"Dong Da, Hanoi",1.9,km,null,4 adult,null,"1,920,000"
Michi House Ng?c HÖ ??i di?n B?o tÖng HCM,"Ba Dinh, Hanoi",2.3,km,10,4 adult,null,"760,000"
Luna House of the Old Quarter,"Hoan Kiem, Hanoi",0.8,km,null,4 adult,null,"988,800"
Super Hotel Candle,"Ba Dinh, Hanoi",3.6,km,8.4,4 adult,null,"3,168,000"
Kem homestay,"Hoan Kiem, Hanoi",1,km,null,4 adult,null,"1,000,000"
ChÖo m?ng ??n The Matrix One,Hanoi,8.4,km,null,4 adult,null,"1,890,000"
Midori Boutique Hotel,"Hai Ba Trung, Hanoi",1.3,km,8.4,4 adult,null,"3,186,000"
Myrcella Urban Studio,"Ba Dinh, Hanoi",4.5,km,9.2,4 adult,36m˝,"1,628,585"
Bay Luxury - Le Grand Hanoi Hotel 18 HÖng Qu?t,"Hoan Kiem, Hanoi",0.6,km,8.5,4 adult,null,"2,200,000"
Mai Hotel,"Dong Da, Hanoi",3,km,8.6,4 adult,null,"1,800,000"
Jacayl Hotel TCG,"Cau Giay, Hanoi",6.4,km,8.7,4 adult,null,"2,346,668"
Free Pick Up/6 Bedrooms/16+ People/Rooftop/Center,"Hoan Kiem, Hanoi",150,m,null,4 adult,null,"2,320,000"
Hong Gia Tue Apartment,"Ba Dinh, Hanoi",1.9,km,9.2,4 adult,null,"3,320,000"
Grand Mercure Hanoi,"Dong Da, Hanoi",1.9,km,9.1,4 adult,null,"8,400,000"
Sun Clover Boutique Hotel,"Tay Ho, Hanoi",3.2,km,8.2,4 adult,null,"965,250"
Hilton Garden Inn Hanoi,"Hoan Kiem, Hanoi",1,km,7.9,4 adult,null,"5,775,000"
Atrium Hotel,"Hoan Kiem, Hanoi",0.9,km,6.9,4 adult,null,"982,800"
JW Marriott Hotel Hanoi,Hanoi,7.6,km,8.9,4 adult,null,"13,200,000"
Parosand Hanoi Hotel,"Tay Ho, Hanoi",6,km,8.3,4 adult,null,"1,425,600"
CL?Charming Studio Apt?BALCONY/Laundry?Van Mieu,"Dong Da, Hanoi",2.5,km,9.3,4 adult,null,"1,120,000"
Grand Cititel Hanoi Hotel,"Hoan Kiem, Hanoi",0.5,km,7.6,4 adult,null,"2,198,050"
Drift Backpackers Hostel,"Hoan Kiem, Hanoi",400,m,8.2,4 adult,null,"972,000"
Bay Luxury - Honeymoon Hotel,"Tay Ho, Hanoi",6,km,1,4 adult,null,"1,200,000"
H? Ba M?u Apartment LilyHome,"Dong Da, Hanoi",1.9,km,null,4 adult,null,"1,920,000"
Michi House Ng?c HÖ ??i di?n B?o tÖng HCM,"Ba Dinh, Hanoi",2.3,km,10,4 adult,null,"760,000"
Luna House of the Old Quarter,"Hoan Kiem, Hanoi",0.8,km,null,4 adult,null,"988,800"
Super Hotel Candle,"Ba Dinh, Hanoi",3.6,km,8.4,4 adult,null,"3,168,000"
Kem homestay,"Hoan Kiem, Hanoi",1,km,null,4 adult,null,"1,000,000"
ChÖo m?ng ??n The Matrix One,Hanoi,8.4,km,null,4 adult,null,"1,890,000"
Midori Boutique Hotel,"Hai Ba Trung, Hanoi",1.3,km,8.4,4 adult,null,"3,186,000"
Myrcella Urban Studio,"Ba Dinh, Hanoi",4.5,km,9.2,4 adult,36m˝,"1,628,585"
Bay Luxury - Le Grand Hanoi Hotel 18 HÖng Qu?t,"Hoan Kiem, Hanoi",0.6,km,8.5,4 adult,null,"2,200,000"
Mai Hotel,"Dong Da, Hanoi",3,km,8.6,4 adult,null,"1,800,000"
Jacayl Hotel TCG,"Cau Giay, Hanoi",6.4,km,8.7,4 adult,null,"2,346,668"
Free Pick Up/6 Bedrooms/16+ People/Rooftop/Center,"Hoan Kiem, Hanoi",150,m,null,4 adult,null,"2,320,000"
Hong Gia Tue Apartment,"Ba Dinh, Hanoi",1.9,km,9.2,4 adult,null,"3,320,000"
Grand Mercure Hanoi,"Dong Da, Hanoi",1.9,km,9.1,4 adult,null,"8,400,000"
Sun Clover Boutique Hotel,"Tay Ho, Hanoi",3.2,km,8.2,4 adult,null,"965,250"
Hilton Garden Inn Hanoi,"Hoan Kiem, Hanoi",1,km,7.9,4 adult,null,"5,775,000"
Atrium Hotel,"Hoan Kiem, Hanoi",0.9,km,6.9,4 adult,null,"982,800"
JW Marriott Hotel Hanoi,Hanoi,7.6,km,8.9,4 adult,null,"13,200,000"
Parosand Hanoi Hotel,"Tay Ho, Hanoi",6,km,8.3,4 adult,null,"1,425,600"
CL?Charming Studio Apt?BALCONY/Laundry?Van Mieu,"Dong Da, Hanoi",2.5,km,9.3,4 adult,null,"1,120,000"
Grand Cititel Hanoi Hotel,"Hoan Kiem, Hanoi",0.5,km,7.6,4 adult,null,"2,198,050"
Drift Backpackers Hostel,"Hoan Kiem, Hanoi",400,m,8.2,4 adult,null,"972,000"
Bay Luxury - Honeymoon Hotel,"Tay Ho, Hanoi",6,km,1,4 adult,null,"1,200,000"
H? Ba M?u Apartment LilyHome,"Dong Da, Hanoi",1.9,km,null,4 adult,null,"1,920,000"
Michi House Ng?c HÖ ??i di?n B?o tÖng HCM,"Ba Dinh, Hanoi",2.3,km,10,4 adult,null,"760,000"
Luna House of the Old Quarter,"Hoan Kiem, Hanoi",0.8,km,null,4 adult,null,"988,800"
Super Hotel Candle,"Ba Dinh, Hanoi",3.6,km,8.4,4 adult,null,"3,168,000"
Kem homestay,"Hoan Kiem, Hanoi",1,km,null,4 adult,null,"1,000,000"
ChÖo m?ng ??n The Matrix One,Hanoi,8.4,km,null,4 adult,null,"1,890,000"
Midori Boutique Hotel,"Hai Ba Trung, Hanoi",1.3,km,8.4,4 adult,null,"3,186,000"
Myrcella Urban Studio,"Ba Dinh, Hanoi",4.5,km,9.2,4 adult,36m˝,"1,628,585"
Bay Luxury - Le Grand Hanoi Hotel 18 HÖng Qu?t,"Hoan Kiem, Hanoi",0.6,km,8.5,4 adult,null,"2,200,000"
Mai Hotel,"Dong Da, Hanoi",3,km,8.6,4 adult,null,"1,800,000"
Jacayl Hotel TCG,"Cau Giay, Hanoi",6.4,km,8.7,4 adult,null,"2,346,668"
Free Pick Up/6 Bedrooms/16+ People/Rooftop/Center,"Hoan Kiem, Hanoi",150,m,null,4 adult,null,"2,320,000"
Hong Gia Tue Apartment,"Ba Dinh, Hanoi",1.9,km,9.2,4 adult,null,"3,320,000"
Grand Mercure Hanoi,"Dong Da, Hanoi",1.9,km,9.1,4 adult,null,"8,400,000"
Sun Clover Boutique Hotel,"Tay Ho, Hanoi",3.2,km,8.2,4 adult,null,"965,250"
Hilton Garden Inn Hanoi,"Hoan Kiem, Hanoi",1,km,7.9,4 adult,null,"5,775,000"
Atrium Hotel,"Hoan Kiem, Hanoi",0.9,km,6.9,4 adult,null,"982,800"
JW Marriott Hotel Hanoi,Hanoi,7.6,km,8.9,4 adult,null,"13,200,000"
Parosand Hanoi Hotel,"Tay Ho, Hanoi",6,km,8.3,4 adult,null,"1,425,600"
CL?Charming Studio Apt?BALCONY/Laundry?Van Mieu,"Dong Da, Hanoi",2.5,km,9.3,4 adult,null,"1,120,000"
Grand Cititel Hanoi Hotel,"Hoan Kiem, Hanoi",0.5,km,7.6,4 adult,null,"2,198,050"
Drift Backpackers Hostel,"Hoan Kiem, Hanoi",400,m,8.2,4 adult,null,"972,000"
Bay Luxury - Honeymoon Hotel,"Tay Ho, Hanoi",6,km,1,4 adult,null,"1,200,000"
H? Ba M?u Apartment LilyHome,"Dong Da, Hanoi",1.9,km,null,4 adult,null,"1,920,000"
Michi House Ng?c HÖ ??i di?n B?o tÖng HCM,"Ba Dinh, Hanoi",2.3,km,10,4 adult,null,"760,000"
Luna House of the Old Quarter,"Hoan Kiem, Hanoi",0.8,km,null,4 adult,null,"988,800"
Super Hotel Candle,"Ba Dinh, Hanoi",3.6,km,8.4,4 adult,null,"3,168,000"
Kem homestay,"Hoan Kiem, Hanoi",1,km,null,4 adult,null,"1,000,000"
ChÖo m?ng ??n The Matrix One,Hanoi,8.4,km,null,4 adult,null,"1,890,000"
Midori Boutique Hotel,"Hai Ba Trung, Hanoi",1.3,km,8.4,4 adult,null,"3,186,000"
Myrcella Urban Studio,"Ba Dinh, Hanoi",4.5,km,9.2,4 adult,36m˝,"1,628,585"
Bay Luxury - Le Grand Hanoi Hotel 18 HÖng Qu?t,"Hoan Kiem, Hanoi",0.6,km,8.5,4 adult,null,"2,200,000"
Mai Hotel,"Dong Da, Hanoi",3,km,8.6,4 adult,null,"1,800,000"
Jacayl Hotel TCG,"Cau Giay, Hanoi",6.4,km,8.7,4 adult,null,"2,346,668"
Free Pick Up/6 Bedrooms/16+ People/Rooftop/Center,"Hoan Kiem, Hanoi",150,m,null,4 adult,null,"2,320,000"
Hong Gia Tue Apartment,"Ba Dinh, Hanoi",1.9,km,9.2,4 adult,null,"3,320,000"
Grand Mercure Hanoi,"Dong Da, Hanoi",1.9,km,9.1,4 adult,null,"8,400,000"
Sun Clover Boutique Hotel,"Tay Ho, Hanoi",3.2,km,8.2,4 adult,null,"965,250"
Hilton Garden Inn Hanoi,"Hoan Kiem, Hanoi",1,km,7.9,4 adult,null,"5,775,000"
Atrium Hotel,"Hoan Kiem, Hanoi",0.9,km,6.9,4 adult,null,"982,800"
JW Marriott Hotel Hanoi,Hanoi,7.6,km,8.9,4 adult,null,"13,200,000"
Parosand Hanoi Hotel,"Tay Ho, Hanoi",6,km,8.3,4 adult,null,"1,425,600"
CL?Charming Studio Apt?BALCONY/Laundry?Van Mieu,"Dong Da, Hanoi",2.5,km,9.3,4 adult,null,"1,120,000"
Grand Cititel Hanoi Hotel,"Hoan Kiem, Hanoi",0.5,km,7.6,4 adult,null,"2,198,050"
Drift Backpackers Hostel,"Hoan Kiem, Hanoi",400,m,8.2,4 adult,null,"972,000"
Bay Luxury - Honeymoon Hotel,"Tay Ho, Hanoi",6,km,1,4 adult,null,"1,200,000"
H? Ba M?u Apartment LilyHome,"Dong Da, Hanoi",1.9,km,null,4 adult,null,"1,920,000"
Michi House Ng?c HÖ ??i di?n B?o tÖng HCM,"Ba Dinh, Hanoi",2.3,km,10,4 adult,null,"760,000"
Luna House of the Old Quarter,"Hoan Kiem, Hanoi",0.8,km,null,4 adult,null,"988,800"
Super Hotel Candle,"Ba Dinh, Hanoi",3.6,km,8.4,4 adult,null,"3,168,000"
Kem homestay,"Hoan Kiem, Hanoi",1,km,null,4 adult,null,"1,000,000"
ChÖo m?ng ??n The Matrix One,Hanoi,8.4,km,null,4 adult,null,"1,890,000"
Midori Boutique Hotel,"Hai Ba Trung, Hanoi",1.3,km,8.4,4 adult,null,"3,186,000"
Myrcella Urban Studio,"Ba Dinh, Hanoi",4.5,km,9.2,4 adult,36m˝,"1,628,585"
Bay Luxury - Le Grand Hanoi Hotel 18 HÖng Qu?t,"Hoan Kiem, Hanoi",0.6,km,8.5,4 adult,null,"2,200,000"
Mai Hotel,"Dong Da, Hanoi",3,km,8.6,4 adult,null,"1,800,000"
Jacayl Hotel TCG,"Cau Giay, Hanoi",6.4,km,8.7,4 adult,null,"2,346,668"
Free Pick Up/6 Bedrooms/16+ People/Rooftop/Center,"Hoan Kiem, Hanoi",150,m,null,4 adult,null,"2,320,000"
Hong Gia Tue Apartment,"Ba Dinh, Hanoi",1.9,km,9.2,4 adult,null,"3,320,000"
Grand Mercure Hanoi,"Dong Da, Hanoi",1.9,km,9.1,4 adult,null,"8,400,000"
Sun Clover Boutique Hotel,"Tay Ho, Hanoi",3.2,km,8.2,4 adult,null,"965,250"
Hilton Garden Inn Hanoi,"Hoan Kiem, Hanoi",1,km,7.9,4 adult,null,"5,775,000"
Atrium Hotel,"Hoan Kiem, Hanoi",0.9,km,6.9,4 adult,null,"982,800"
JW Marriott Hotel Hanoi,Hanoi,7.6,km,8.9,4 adult,null,"13,200,000"
Parosand Hanoi Hotel,"Tay Ho, Hanoi",6,km,8.3,4 adult,null,"1,425,600"
CL?Charming Studio Apt?BALCONY/Laundry?Van Mieu,"Dong Da, Hanoi",2.5,km,9.3,4 adult,null,"1,120,000"
Grand Cititel Hanoi Hotel,"Hoan Kiem, Hanoi",0.5,km,7.6,4 adult,null,"2,198,050"
Drift Backpackers Hostel,"Hoan Kiem, Hanoi",400,m,8.2,4 adult,null,"972,000"
Bay Luxury - Honeymoon Hotel,"Tay Ho, Hanoi",6,km,1,4 adult,null,"1,200,000"
H? Ba M?u Apartment LilyHome,"Dong Da, Hanoi",1.9,km,null,4 adult,null,"1,920,000"
Michi House Ng?c HÖ ??i di?n B?o tÖng HCM,"Ba Dinh, Hanoi",2.3,km,10,4 adult,null,"760,000"
Luna House of the Old Quarter,"Hoan Kiem, Hanoi",0.8,km,null,4 adult,null,"988,800"
Super Hotel Candle,"Ba Dinh, Hanoi",3.6,km,8.4,4 adult,null,"3,168,000"
Kem homestay,"Hoan Kiem, Hanoi",1,km,null,4 adult,null,"1,000,000"
ChÖo m?ng ??n The Matrix One,Hanoi,8.4,km,null,4 adult,null,"1,890,000"
Midori Boutique Hotel,"Hai Ba Trung, Hanoi",1.3,km,8.4,4 adult,null,"3,186,000"
Myrcella Urban Studio,"Ba Dinh, Hanoi",4.5,km,9.2,4 adult,36m˝,"1,628,585"
Bay Luxury - Le Grand Hanoi Hotel 18 HÖng Qu?t,"Hoan Kiem, Hanoi",0.6,km,8.5,4 adult,null,"2,200,000"
Mai Hotel,"Dong Da, Hanoi",3,km,8.6,4 adult,null,"1,800,000"
Jacayl Hotel TCG,"Cau Giay, Hanoi",6.4,km,8.7,4 adult,null,"2,346,668"
Free Pick Up/6 Bedrooms/16+ People/Rooftop/Center,"Hoan Kiem, Hanoi",150,m,null,4 adult,null,"2,320,000"
Hong Gia Tue Apartment,"Ba Dinh, Hanoi",1.9,km,9.2,4 adult,null,"3,320,000"
Grand Mercure Hanoi,"Dong Da, Hanoi",1.9,km,9.1,4 adult,null,"8,400,000"
Sun Clover Boutique Hotel,"Tay Ho, Hanoi",3.2,km,8.2,4 adult,null,"965,250"
Hilton Garden Inn Hanoi,"Hoan Kiem, Hanoi",1,km,7.9,4 adult,null,"5,775,000"
Atrium Hotel,"Hoan Kiem, Hanoi",0.9,km,6.9,4 adult,null,"982,800"
JW Marriott Hotel Hanoi,Hanoi,7.6,km,8.9,4 adult,null,"13,200,000"
Parosand Hanoi Hotel,"Tay Ho, Hanoi",6,km,8.3,4 adult,null,"1,425,600"
CL?Charming Studio Apt?BALCONY/Laundry?Van Mieu,"Dong Da, Hanoi",2.5,km,9.3,4 adult,null,"1,120,000"
Grand Cititel Hanoi Hotel,"Hoan Kiem, Hanoi",0.5,km,7.6,4 adult,null,"2,198,050"
Drift Backpackers Hostel,"Hoan Kiem, Hanoi",400,m,8.2,4 adult,null,"972,000"
Bay Luxury - Honeymoon Hotel,"Tay Ho, Hanoi",6,km,1,4 adult,null,"1,200,000"
H? Ba M?u Apartment LilyHome,"Dong Da, Hanoi",1.9,km,null,4 adult,null,"1,920,000"
Michi House Ng?c HÖ ??i di?n B?o tÖng HCM,"Ba Dinh, Hanoi",2.3,km,10,4 adult,null,"760,000"
Luna House of the Old Quarter,"Hoan Kiem, Hanoi",0.8,km,null,4 adult,null,"988,800"
Super Hotel Candle,"Ba Dinh, Hanoi",3.6,km,8.4,4 adult,null,"3,168,000"
Kem homestay,"Hoan Kiem, Hanoi",1,km,null,4 adult,null,"1,000,000"
ChÖo m?ng ??n The Matrix One,Hanoi,8.4,km,null,4 adult,null,"1,890,000"
Midori Boutique Hotel,"Hai Ba Trung, Hanoi",1.3,km,8.4,4 adult,null,"3,186,000"
Myrcella Urban Studio,"Ba Dinh, Hanoi",4.5,km,9.2,4 adult,36m˝,"1,628,585"
Bay Luxury - Le Grand Hanoi Hotel 18 HÖng Qu?t,"Hoan Kiem, Hanoi",0.6,km,8.5,4 adult,null,"2,200,000"
Mai Hotel,"Dong Da, Hanoi",3,km,8.6,4 adult,null,"1,800,000"
Jacayl Hotel TCG,"Cau Giay, Hanoi",6.4,km,8.7,4 adult,null,"2,346,668"
Free Pick Up/6 Bedrooms/16+ People/Rooftop/Center,"Hoan Kiem, Hanoi",150,m,null,4 adult,null,"2,320,000"
Hong Gia Tue Apartment,"Ba Dinh, Hanoi",1.9,km,9.2,4 adult,null,"3,320,000"
Grand Mercure Hanoi,"Dong Da, Hanoi",1.9,km,9.1,4 adult,null,"8,400,000"
Sun Clover Boutique Hotel,"Tay Ho, Hanoi",3.2,km,8.2,4 adult,null,"965,250"
Hilton Garden Inn Hanoi,"Hoan Kiem, Hanoi",1,km,7.9,4 adult,null,"5,775,000"
Atrium Hotel,"Hoan Kiem, Hanoi",0.9,km,6.9,4 adult,null,"982,800"
JW Marriott Hotel Hanoi,Hanoi,7.6,km,8.9,4 adult,null,"13,200,000"
Parosand Hanoi Hotel,"Tay Ho, Hanoi",6,km,8.3,4 adult,null,"1,425,600"
CL?Charming Studio Apt?BALCONY/Laundry?Van Mieu,"Dong Da, Hanoi",2.5,km,9.3,4 adult,null,"1,120,000"
Grand Cititel Hanoi Hotel,"Hoan Kiem, Hanoi",0.5,km,7.6,4 adult,null,"2,198,050"
Drift Backpackers Hostel,"Hoan Kiem, Hanoi",400,m,8.2,4 adult,null,"972,000"
Bay Luxury - Honeymoon Hotel,"Tay Ho, Hanoi",6,km,1,4 adult,null,"1,200,000"
H? Ba M?u Apartment LilyHome,"Dong Da, Hanoi",1.9,km,null,4 adult,null,"1,920,000"
Michi House Ng?c HÖ ??i di?n B?o tÖng HCM,"Ba Dinh, Hanoi",2.3,km,10,4 adult,null,"760,000"
Luna House of the Old Quarter,"Hoan Kiem, Hanoi",0.8,km,null,4 adult,null,"988,800"
Super Hotel Candle,"Ba Dinh, Hanoi",3.6,km,8.4,4 adult,null,"3,168,000"
Kem homestay,"Hoan Kiem, Hanoi",1,km,null,4 adult,null,"1,000,000"
ChÖo m?ng ??n The Matrix One,Hanoi,8.4,km,null,4 adult,null,"1,890,000"
Midori Boutique Hotel,"Hai Ba Trung, Hanoi",1.3,km,8.4,4 adult,null,"3,186,000"
Myrcella Urban Studio,"Ba Dinh, Hanoi",4.5,km,9.2,4 adult,36m˝,"1,628,585"
Bay Luxury - Le Grand Hanoi Hotel 18 HÖng Qu?t,"Hoan Kiem, Hanoi",0.6,km,8.5,4 adult,null,"2,200,000"
Mai Hotel,"Dong Da, Hanoi",3,km,8.6,4 adult,null,"1,800,000"
