name,address,distance,distance_type,rating,capaciity,area,price
C?n h? t?i Ph£ Nhu?n,"Tan Binh, Ho Chi Minh City",5.5,km,9,1 adult,null,"950,000"
MyWay139,"District 1, Ho Chi Minh City",1.4,km,null,1 adult,45m˝,"648,000"
?N T?NH Hotel,"District 11, Ho Chi Minh City",4.8,km,7.4,1 adult,null,"422,394"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,1 adult,null,"500,000"
Diamond Luxury Ben Thanh,"District 1, Ho Chi Minh City",250,m,9.4,1 adult,45m˝,"1,146,162"
My Anh 120 Central Saigon Hotel Ben Thanh Market,"District 1, Ho Chi Minh City",0.7,km,7.5,1 adult,null,"729,000"
0M - Masteri Thao Dien - Cityview Landmark81,"District 2, Ho Chi Minh City",5.6,km,null,1 adult,80m˝,"1,551,000"
Landmark - Homes by Christine,"Binh Thanh, Ho Chi Minh City",2.6,km,8.3,1 adult,50m˝,"675,000"
Cupid Hotel,"District 1, Ho Chi Minh City",1.2,km,8.2,1 adult,null,"506,591"
RENO,"District 2, Ho Chi Minh City",7.3,km,8.4,1 adult,25m˝,"570,000"
Huy HoÖng Hotel,"Binh Thanh, Ho Chi Minh City",4.5,km,6.6,1 adult,null,"243,000"
INSTA-WORTHY Home @Ben Thanh @District 1,"District 1, Ho Chi Minh City",300,m,null,1 adult,null,"1,090,000"
MDHOTEL 2,"Binh Tan District, Ho Chi Minh City",12,km,6.1,1 adult,null,"306,000"
Serene Premier Apartment,"District 4, Ho Chi Minh City",1,km,null,1 adult,null,"1,814,400"
Ruby Hotel,"District 1, Ho Chi Minh City",250,m,8.5,1 adult,null,"916,789"
TammyROOM - Twin/double Deluxe,"Phu Nhuan, Ho Chi Minh City",3.4,km,8.5,1 adult,null,"495,000"
TripleTrees Apartment at Saigon Central - Rivergate Residence District 4,"District 4, Ho Chi Minh City",0.9,km,9.4,1 adult,42m˝,"1,300,000"
Two Beds Studio at City Center Ben Thanh Market Free Pool and Gym,"District 4, Ho Chi Minh City",1.1,km,null,1 adult,50m˝,"1,000,000"
Happy Dream Condontel,"District 4, Ho Chi Minh City",0.9,km,null,1 adult,74m˝,"1,600,000"
Vuong Tai Hotel,"District 1, Ho Chi Minh City",250,m,8,1 adult,null,"864,430"
Simon Houes,"Binh Thanh, Ho Chi Minh City",3.5,km,null,1 adult,55m˝,"1,500,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,1 adult,25m˝,"1,400,000"
C?n h? t?i Ph£ Nhu?n,"Tan Binh, Ho Chi Minh City",5.5,km,9,1 adult,null,"950,000"
MyWay139,"District 1, Ho Chi Minh City",1.4,km,null,1 adult,45m˝,"648,000"
?N T?NH Hotel,"District 11, Ho Chi Minh City",4.8,km,7.4,1 adult,null,"422,394"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,1 adult,null,"500,000"
Diamond Luxury Ben Thanh,"District 1, Ho Chi Minh City",250,m,9.4,1 adult,45m˝,"1,146,162"
My Anh 120 Central Saigon Hotel Ben Thanh Market,"District 1, Ho Chi Minh City",0.7,km,7.5,1 adult,null,"729,000"
0M - Masteri Thao Dien - Cityview Landmark81,"District 2, Ho Chi Minh City",5.6,km,null,1 adult,80m˝,"1,551,000"
Landmark - Homes by Christine,"Binh Thanh, Ho Chi Minh City",2.6,km,8.3,1 adult,50m˝,"675,000"
Cupid Hotel,"District 1, Ho Chi Minh City",1.2,km,8.2,1 adult,null,"506,591"
RENO,"District 2, Ho Chi Minh City",7.3,km,8.4,1 adult,25m˝,"570,000"
Huy HoÖng Hotel,"Binh Thanh, Ho Chi Minh City",4.5,km,6.6,1 adult,null,"243,000"
INSTA-WORTHY Home @Ben Thanh @District 1,"District 1, Ho Chi Minh City",300,m,null,1 adult,null,"1,090,000"
MDHOTEL 2,"Binh Tan District, Ho Chi Minh City",12,km,6.1,1 adult,null,"306,000"
Serene Premier Apartment,"District 4, Ho Chi Minh City",1,km,null,1 adult,null,"1,814,400"
Ruby Hotel,"District 1, Ho Chi Minh City",250,m,8.5,1 adult,null,"916,789"
TammyROOM - Twin/double Deluxe,"Phu Nhuan, Ho Chi Minh City",3.4,km,8.5,1 adult,null,"495,000"
TripleTrees Apartment at Saigon Central - Rivergate Residence District 4,"District 4, Ho Chi Minh City",0.9,km,9.4,1 adult,42m˝,"1,300,000"
Two Beds Studio at City Center Ben Thanh Market Free Pool and Gym,"District 4, Ho Chi Minh City",1.1,km,null,1 adult,50m˝,"1,000,000"
Happy Dream Condontel,"District 4, Ho Chi Minh City",0.9,km,null,1 adult,74m˝,"1,600,000"
Vuong Tai Hotel,"District 1, Ho Chi Minh City",250,m,8,1 adult,null,"864,430"
Simon Houes,"Binh Thanh, Ho Chi Minh City",3.5,km,null,1 adult,55m˝,"1,500,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,1 adult,25m˝,"1,400,000"
C?n h? t?i Ph£ Nhu?n,"Tan Binh, Ho Chi Minh City",5.5,km,9,1 adult,null,"950,000"
MyWay139,"District 1, Ho Chi Minh City",1.4,km,null,1 adult,45m˝,"648,000"
?N T?NH Hotel,"District 11, Ho Chi Minh City",4.8,km,7.4,1 adult,null,"422,394"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,1 adult,null,"500,000"
Diamond Luxury Ben Thanh,"District 1, Ho Chi Minh City",250,m,9.4,1 adult,45m˝,"1,146,162"
My Anh 120 Central Saigon Hotel Ben Thanh Market,"District 1, Ho Chi Minh City",0.7,km,7.5,1 adult,null,"729,000"
0M - Masteri Thao Dien - Cityview Landmark81,"District 2, Ho Chi Minh City",5.6,km,null,1 adult,80m˝,"1,551,000"
Landmark - Homes by Christine,"Binh Thanh, Ho Chi Minh City",2.6,km,8.3,1 adult,50m˝,"675,000"
Cupid Hotel,"District 1, Ho Chi Minh City",1.2,km,8.2,1 adult,null,"506,591"
RENO,"District 2, Ho Chi Minh City",7.3,km,8.4,1 adult,25m˝,"570,000"
Huy HoÖng Hotel,"Binh Thanh, Ho Chi Minh City",4.5,km,6.6,1 adult,null,"243,000"
INSTA-WORTHY Home @Ben Thanh @District 1,"District 1, Ho Chi Minh City",300,m,null,1 adult,null,"1,090,000"
MDHOTEL 2,"Binh Tan District, Ho Chi Minh City",12,km,6.1,1 adult,null,"306,000"
Serene Premier Apartment,"District 4, Ho Chi Minh City",1,km,null,1 adult,null,"1,814,400"
Ruby Hotel,"District 1, Ho Chi Minh City",250,m,8.5,1 adult,null,"916,789"
TammyROOM - Twin/double Deluxe,"Phu Nhuan, Ho Chi Minh City",3.4,km,8.5,1 adult,null,"495,000"
TripleTrees Apartment at Saigon Central - Rivergate Residence District 4,"District 4, Ho Chi Minh City",0.9,km,9.4,1 adult,42m˝,"1,300,000"
Two Beds Studio at City Center Ben Thanh Market Free Pool and Gym,"District 4, Ho Chi Minh City",1.1,km,null,1 adult,50m˝,"1,000,000"
Happy Dream Condontel,"District 4, Ho Chi Minh City",0.9,km,null,1 adult,74m˝,"1,600,000"
Vuong Tai Hotel,"District 1, Ho Chi Minh City",250,m,8,1 adult,null,"864,430"
Simon Houes,"Binh Thanh, Ho Chi Minh City",3.5,km,null,1 adult,55m˝,"1,500,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,1 adult,25m˝,"1,400,000"
C?n h? t?i Ph£ Nhu?n,"Tan Binh, Ho Chi Minh City",5.5,km,9,1 adult,null,"950,000"
MyWay139,"District 1, Ho Chi Minh City",1.4,km,null,1 adult,45m˝,"648,000"
?N T?NH Hotel,"District 11, Ho Chi Minh City",4.8,km,7.4,1 adult,null,"422,394"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,1 adult,null,"500,000"
Diamond Luxury Ben Thanh,"District 1, Ho Chi Minh City",250,m,9.4,1 adult,45m˝,"1,146,162"
My Anh 120 Central Saigon Hotel Ben Thanh Market,"District 1, Ho Chi Minh City",0.7,km,7.5,1 adult,null,"729,000"
0M - Masteri Thao Dien - Cityview Landmark81,"District 2, Ho Chi Minh City",5.6,km,null,1 adult,80m˝,"1,551,000"
Landmark - Homes by Christine,"Binh Thanh, Ho Chi Minh City",2.6,km,8.3,1 adult,50m˝,"675,000"
Cupid Hotel,"District 1, Ho Chi Minh City",1.2,km,8.2,1 adult,null,"506,591"
RENO,"District 2, Ho Chi Minh City",7.3,km,8.4,1 adult,25m˝,"570,000"
Huy HoÖng Hotel,"Binh Thanh, Ho Chi Minh City",4.5,km,6.6,1 adult,null,"243,000"
INSTA-WORTHY Home @Ben Thanh @District 1,"District 1, Ho Chi Minh City",300,m,null,1 adult,null,"1,090,000"
MDHOTEL 2,"Binh Tan District, Ho Chi Minh City",12,km,6.1,1 adult,null,"306,000"
Serene Premier Apartment,"District 4, Ho Chi Minh City",1,km,null,1 adult,null,"1,814,400"
Ruby Hotel,"District 1, Ho Chi Minh City",250,m,8.5,1 adult,null,"916,789"
TammyROOM - Twin/double Deluxe,"Phu Nhuan, Ho Chi Minh City",3.4,km,8.5,1 adult,null,"495,000"
TripleTrees Apartment at Saigon Central - Rivergate Residence District 4,"District 4, Ho Chi Minh City",0.9,km,9.4,1 adult,42m˝,"1,300,000"
Two Beds Studio at City Center Ben Thanh Market Free Pool and Gym,"District 4, Ho Chi Minh City",1.1,km,null,1 adult,50m˝,"1,000,000"
Happy Dream Condontel,"District 4, Ho Chi Minh City",0.9,km,null,1 adult,74m˝,"1,600,000"
Vuong Tai Hotel,"District 1, Ho Chi Minh City",250,m,8,1 adult,null,"864,430"
Simon Houes,"Binh Thanh, Ho Chi Minh City",3.5,km,null,1 adult,55m˝,"1,500,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,1 adult,25m˝,"1,400,000"
C?n h? t?i Ph£ Nhu?n,"Tan Binh, Ho Chi Minh City",5.5,km,9,1 adult,null,"950,000"
MyWay139,"District 1, Ho Chi Minh City",1.4,km,null,1 adult,45m˝,"648,000"
?N T?NH Hotel,"District 11, Ho Chi Minh City",4.8,km,7.4,1 adult,null,"422,394"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,1 adult,null,"500,000"
Diamond Luxury Ben Thanh,"District 1, Ho Chi Minh City",250,m,9.4,1 adult,45m˝,"1,146,162"
My Anh 120 Central Saigon Hotel Ben Thanh Market,"District 1, Ho Chi Minh City",0.7,km,7.5,1 adult,null,"729,000"
0M - Masteri Thao Dien - Cityview Landmark81,"District 2, Ho Chi Minh City",5.6,km,null,1 adult,80m˝,"1,551,000"
Landmark - Homes by Christine,"Binh Thanh, Ho Chi Minh City",2.6,km,8.3,1 adult,50m˝,"675,000"
Cupid Hotel,"District 1, Ho Chi Minh City",1.2,km,8.2,1 adult,null,"506,591"
RENO,"District 2, Ho Chi Minh City",7.3,km,8.4,1 adult,25m˝,"570,000"
Huy HoÖng Hotel,"Binh Thanh, Ho Chi Minh City",4.5,km,6.6,1 adult,null,"243,000"
INSTA-WORTHY Home @Ben Thanh @District 1,"District 1, Ho Chi Minh City",300,m,null,1 adult,null,"1,090,000"
MDHOTEL 2,"Binh Tan District, Ho Chi Minh City",12,km,6.1,1 adult,null,"306,000"
Serene Premier Apartment,"District 4, Ho Chi Minh City",1,km,null,1 adult,null,"1,814,400"
Ruby Hotel,"District 1, Ho Chi Minh City",250,m,8.5,1 adult,null,"916,789"
TammyROOM - Twin/double Deluxe,"Phu Nhuan, Ho Chi Minh City",3.4,km,8.5,1 adult,null,"495,000"
TripleTrees Apartment at Saigon Central - Rivergate Residence District 4,"District 4, Ho Chi Minh City",0.9,km,9.4,1 adult,42m˝,"1,300,000"
Two Beds Studio at City Center Ben Thanh Market Free Pool and Gym,"District 4, Ho Chi Minh City",1.1,km,null,1 adult,50m˝,"1,000,000"
Happy Dream Condontel,"District 4, Ho Chi Minh City",0.9,km,null,1 adult,74m˝,"1,600,000"
Vuong Tai Hotel,"District 1, Ho Chi Minh City",250,m,8,1 adult,null,"864,430"
Simon Houes,"Binh Thanh, Ho Chi Minh City",3.5,km,null,1 adult,55m˝,"1,500,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,1 adult,25m˝,"1,400,000"
C?n h? t?i Ph£ Nhu?n,"Tan Binh, Ho Chi Minh City",5.5,km,9,1 adult,null,"950,000"
MyWay139,"District 1, Ho Chi Minh City",1.4,km,null,1 adult,45m˝,"648,000"
?N T?NH Hotel,"District 11, Ho Chi Minh City",4.8,km,7.4,1 adult,null,"422,394"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,1 adult,null,"500,000"
Diamond Luxury Ben Thanh,"District 1, Ho Chi Minh City",250,m,9.4,1 adult,45m˝,"1,146,162"
My Anh 120 Central Saigon Hotel Ben Thanh Market,"District 1, Ho Chi Minh City",0.7,km,7.5,1 adult,null,"729,000"
0M - Masteri Thao Dien - Cityview Landmark81,"District 2, Ho Chi Minh City",5.6,km,null,1 adult,80m˝,"1,551,000"
Landmark - Homes by Christine,"Binh Thanh, Ho Chi Minh City",2.6,km,8.3,1 adult,50m˝,"675,000"
Cupid Hotel,"District 1, Ho Chi Minh City",1.2,km,8.2,1 adult,null,"506,591"
RENO,"District 2, Ho Chi Minh City",7.3,km,8.4,1 adult,25m˝,"570,000"
Huy HoÖng Hotel,"Binh Thanh, Ho Chi Minh City",4.5,km,6.6,1 adult,null,"243,000"
INSTA-WORTHY Home @Ben Thanh @District 1,"District 1, Ho Chi Minh City",300,m,null,1 adult,null,"1,090,000"
MDHOTEL 2,"Binh Tan District, Ho Chi Minh City",12,km,6.1,1 adult,null,"306,000"
Serene Premier Apartment,"District 4, Ho Chi Minh City",1,km,null,1 adult,null,"1,814,400"
Ruby Hotel,"District 1, Ho Chi Minh City",250,m,8.5,1 adult,null,"916,789"
TammyROOM - Twin/double Deluxe,"Phu Nhuan, Ho Chi Minh City",3.4,km,8.5,1 adult,null,"495,000"
TripleTrees Apartment at Saigon Central - Rivergate Residence District 4,"District 4, Ho Chi Minh City",0.9,km,9.4,1 adult,42m˝,"1,300,000"
Two Beds Studio at City Center Ben Thanh Market Free Pool and Gym,"District 4, Ho Chi Minh City",1.1,km,null,1 adult,50m˝,"1,000,000"
Happy Dream Condontel,"District 4, Ho Chi Minh City",0.9,km,null,1 adult,74m˝,"1,600,000"
Vuong Tai Hotel,"District 1, Ho Chi Minh City",250,m,8,1 adult,null,"864,430"
Simon Houes,"Binh Thanh, Ho Chi Minh City",3.5,km,null,1 adult,55m˝,"1,500,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,1 adult,25m˝,"1,400,000"
C?n h? t?i Ph£ Nhu?n,"Tan Binh, Ho Chi Minh City",5.5,km,9,1 adult,null,"950,000"
MyWay139,"District 1, Ho Chi Minh City",1.4,km,null,1 adult,45m˝,"648,000"
?N T?NH Hotel,"District 11, Ho Chi Minh City",4.8,km,7.4,1 adult,null,"422,394"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,1 adult,null,"500,000"
Diamond Luxury Ben Thanh,"District 1, Ho Chi Minh City",250,m,9.4,1 adult,45m˝,"1,146,162"
My Anh 120 Central Saigon Hotel Ben Thanh Market,"District 1, Ho Chi Minh City",0.7,km,7.5,1 adult,null,"729,000"
0M - Masteri Thao Dien - Cityview Landmark81,"District 2, Ho Chi Minh City",5.6,km,null,1 adult,80m˝,"1,551,000"
Landmark - Homes by Christine,"Binh Thanh, Ho Chi Minh City",2.6,km,8.3,1 adult,50m˝,"675,000"
Cupid Hotel,"District 1, Ho Chi Minh City",1.2,km,8.2,1 adult,null,"506,591"
RENO,"District 2, Ho Chi Minh City",7.3,km,8.4,1 adult,25m˝,"570,000"
Huy HoÖng Hotel,"Binh Thanh, Ho Chi Minh City",4.5,km,6.6,1 adult,null,"243,000"
INSTA-WORTHY Home @Ben Thanh @District 1,"District 1, Ho Chi Minh City",300,m,null,1 adult,null,"1,090,000"
MDHOTEL 2,"Binh Tan District, Ho Chi Minh City",12,km,6.1,1 adult,null,"306,000"
Serene Premier Apartment,"District 4, Ho Chi Minh City",1,km,null,1 adult,null,"1,814,400"
Ruby Hotel,"District 1, Ho Chi Minh City",250,m,8.5,1 adult,null,"916,789"
TammyROOM - Twin/double Deluxe,"Phu Nhuan, Ho Chi Minh City",3.4,km,8.5,1 adult,null,"495,000"
TripleTrees Apartment at Saigon Central - Rivergate Residence District 4,"District 4, Ho Chi Minh City",0.9,km,9.4,1 adult,42m˝,"1,300,000"
Two Beds Studio at City Center Ben Thanh Market Free Pool and Gym,"District 4, Ho Chi Minh City",1.1,km,null,1 adult,50m˝,"1,000,000"
Happy Dream Condontel,"District 4, Ho Chi Minh City",0.9,km,null,1 adult,74m˝,"1,600,000"
Vuong Tai Hotel,"District 1, Ho Chi Minh City",250,m,8,1 adult,null,"864,430"
Simon Houes,"Binh Thanh, Ho Chi Minh City",3.5,km,null,1 adult,55m˝,"1,500,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,1 adult,25m˝,"1,400,000"
C?n h? t?i Ph£ Nhu?n,"Tan Binh, Ho Chi Minh City",5.5,km,9,1 adult,null,"950,000"
MyWay139,"District 1, Ho Chi Minh City",1.4,km,null,1 adult,45m˝,"648,000"
?N T?NH Hotel,"District 11, Ho Chi Minh City",4.8,km,7.4,1 adult,null,"422,394"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,1 adult,null,"500,000"
Diamond Luxury Ben Thanh,"District 1, Ho Chi Minh City",250,m,9.4,1 adult,45m˝,"1,146,162"
My Anh 120 Central Saigon Hotel Ben Thanh Market,"District 1, Ho Chi Minh City",0.7,km,7.5,1 adult,null,"729,000"
0M - Masteri Thao Dien - Cityview Landmark81,"District 2, Ho Chi Minh City",5.6,km,null,1 adult,80m˝,"1,551,000"
Landmark - Homes by Christine,"Binh Thanh, Ho Chi Minh City",2.6,km,8.3,1 adult,50m˝,"675,000"
Cupid Hotel,"District 1, Ho Chi Minh City",1.2,km,8.2,1 adult,null,"506,591"
RENO,"District 2, Ho Chi Minh City",7.3,km,8.4,1 adult,25m˝,"570,000"
Huy HoÖng Hotel,"Binh Thanh, Ho Chi Minh City",4.5,km,6.6,1 adult,null,"243,000"
INSTA-WORTHY Home @Ben Thanh @District 1,"District 1, Ho Chi Minh City",300,m,null,1 adult,null,"1,090,000"
MDHOTEL 2,"Binh Tan District, Ho Chi Minh City",12,km,6.1,1 adult,null,"306,000"
Serene Premier Apartment,"District 4, Ho Chi Minh City",1,km,null,1 adult,null,"1,814,400"
Ruby Hotel,"District 1, Ho Chi Minh City",250,m,8.5,1 adult,null,"916,789"
TammyROOM - Twin/double Deluxe,"Phu Nhuan, Ho Chi Minh City",3.4,km,8.5,1 adult,null,"495,000"
TripleTrees Apartment at Saigon Central - Rivergate Residence District 4,"District 4, Ho Chi Minh City",0.9,km,9.4,1 adult,42m˝,"1,300,000"
Two Beds Studio at City Center Ben Thanh Market Free Pool and Gym,"District 4, Ho Chi Minh City",1.1,km,null,1 adult,50m˝,"1,000,000"
Happy Dream Condontel,"District 4, Ho Chi Minh City",0.9,km,null,1 adult,74m˝,"1,600,000"
Vuong Tai Hotel,"District 1, Ho Chi Minh City",250,m,8,1 adult,null,"864,430"
Simon Houes,"Binh Thanh, Ho Chi Minh City",3.5,km,null,1 adult,55m˝,"1,500,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,1 adult,25m˝,"1,400,000"
C?n h? t?i Ph£ Nhu?n,"Tan Binh, Ho Chi Minh City",5.5,km,9,1 adult,null,"950,000"
MyWay139,"District 1, Ho Chi Minh City",1.4,km,null,1 adult,45m˝,"648,000"
?N T?NH Hotel,"District 11, Ho Chi Minh City",4.8,km,7.4,1 adult,null,"422,394"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,1 adult,null,"500,000"
Diamond Luxury Ben Thanh,"District 1, Ho Chi Minh City",250,m,9.4,1 adult,45m˝,"1,146,162"
My Anh 120 Central Saigon Hotel Ben Thanh Market,"District 1, Ho Chi Minh City",0.7,km,7.5,1 adult,null,"729,000"
0M - Masteri Thao Dien - Cityview Landmark81,"District 2, Ho Chi Minh City",5.6,km,null,1 adult,80m˝,"1,551,000"
Landmark - Homes by Christine,"Binh Thanh, Ho Chi Minh City",2.6,km,8.3,1 adult,50m˝,"675,000"
Cupid Hotel,"District 1, Ho Chi Minh City",1.2,km,8.2,1 adult,null,"506,591"
RENO,"District 2, Ho Chi Minh City",7.3,km,8.4,1 adult,25m˝,"570,000"
Huy HoÖng Hotel,"Binh Thanh, Ho Chi Minh City",4.5,km,6.6,1 adult,null,"243,000"
INSTA-WORTHY Home @Ben Thanh @District 1,"District 1, Ho Chi Minh City",300,m,null,1 adult,null,"1,090,000"
MDHOTEL 2,"Binh Tan District, Ho Chi Minh City",12,km,6.1,1 adult,null,"306,000"
Serene Premier Apartment,"District 4, Ho Chi Minh City",1,km,null,1 adult,null,"1,814,400"
Ruby Hotel,"District 1, Ho Chi Minh City",250,m,8.5,1 adult,null,"916,789"
TammyROOM - Twin/double Deluxe,"Phu Nhuan, Ho Chi Minh City",3.4,km,8.5,1 adult,null,"495,000"
TripleTrees Apartment at Saigon Central - Rivergate Residence District 4,"District 4, Ho Chi Minh City",0.9,km,9.4,1 adult,42m˝,"1,300,000"
Two Beds Studio at City Center Ben Thanh Market Free Pool and Gym,"District 4, Ho Chi Minh City",1.1,km,null,1 adult,50m˝,"1,000,000"
Happy Dream Condontel,"District 4, Ho Chi Minh City",0.9,km,null,1 adult,74m˝,"1,600,000"
Vuong Tai Hotel,"District 1, Ho Chi Minh City",250,m,8,1 adult,null,"864,430"
Simon Houes,"Binh Thanh, Ho Chi Minh City",3.5,km,null,1 adult,55m˝,"1,500,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,1 adult,25m˝,"1,400,000"
C?n h? t?i Ph£ Nhu?n,"Tan Binh, Ho Chi Minh City",5.5,km,9,1 adult,null,"950,000"
MyWay139,"District 1, Ho Chi Minh City",1.4,km,null,1 adult,45m˝,"648,000"
?N T?NH Hotel,"District 11, Ho Chi Minh City",4.8,km,7.4,1 adult,null,"422,394"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,1 adult,null,"500,000"
Diamond Luxury Ben Thanh,"District 1, Ho Chi Minh City",250,m,9.4,1 adult,45m˝,"1,146,162"
My Anh 120 Central Saigon Hotel Ben Thanh Market,"District 1, Ho Chi Minh City",0.7,km,7.5,1 adult,null,"729,000"
0M - Masteri Thao Dien - Cityview Landmark81,"District 2, Ho Chi Minh City",5.6,km,null,1 adult,80m˝,"1,551,000"
Landmark - Homes by Christine,"Binh Thanh, Ho Chi Minh City",2.6,km,8.3,1 adult,50m˝,"675,000"
Cupid Hotel,"District 1, Ho Chi Minh City",1.2,km,8.2,1 adult,null,"506,591"
RENO,"District 2, Ho Chi Minh City",7.3,km,8.4,1 adult,25m˝,"570,000"
Huy HoÖng Hotel,"Binh Thanh, Ho Chi Minh City",4.5,km,6.6,1 adult,null,"243,000"
INSTA-WORTHY Home @Ben Thanh @District 1,"District 1, Ho Chi Minh City",300,m,null,1 adult,null,"1,090,000"
MDHOTEL 2,"Binh Tan District, Ho Chi Minh City",12,km,6.1,1 adult,null,"306,000"
Serene Premier Apartment,"District 4, Ho Chi Minh City",1,km,null,1 adult,null,"1,814,400"
Ruby Hotel,"District 1, Ho Chi Minh City",250,m,8.5,1 adult,null,"916,789"
TammyROOM - Twin/double Deluxe,"Phu Nhuan, Ho Chi Minh City",3.4,km,8.5,1 adult,null,"495,000"
TripleTrees Apartment at Saigon Central - Rivergate Residence District 4,"District 4, Ho Chi Minh City",0.9,km,9.4,1 adult,42m˝,"1,300,000"
Two Beds Studio at City Center Ben Thanh Market Free Pool and Gym,"District 4, Ho Chi Minh City",1.1,km,null,1 adult,50m˝,"1,000,000"
Happy Dream Condontel,"District 4, Ho Chi Minh City",0.9,km,null,1 adult,74m˝,"1,600,000"
Vuong Tai Hotel,"District 1, Ho Chi Minh City",250,m,8,1 adult,null,"864,430"
Simon Houes,"Binh Thanh, Ho Chi Minh City",3.5,km,null,1 adult,55m˝,"1,500,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,1 adult,25m˝,"1,400,000"
C?n h? t?i Ph£ Nhu?n,"Tan Binh, Ho Chi Minh City",5.5,km,9,1 adult,null,"950,000"
MyWay139,"District 1, Ho Chi Minh City",1.4,km,null,1 adult,45m˝,"648,000"
?N T?NH Hotel,"District 11, Ho Chi Minh City",4.8,km,7.4,1 adult,null,"422,394"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,1 adult,null,"500,000"
Diamond Luxury Ben Thanh,"District 1, Ho Chi Minh City",250,m,9.4,1 adult,45m˝,"1,146,162"
My Anh 120 Central Saigon Hotel Ben Thanh Market,"District 1, Ho Chi Minh City",0.7,km,7.5,1 adult,null,"729,000"
0M - Masteri Thao Dien - Cityview Landmark81,"District 2, Ho Chi Minh City",5.6,km,null,1 adult,80m˝,"1,551,000"
Landmark - Homes by Christine,"Binh Thanh, Ho Chi Minh City",2.6,km,8.3,1 adult,50m˝,"675,000"
Cupid Hotel,"District 1, Ho Chi Minh City",1.2,km,8.2,1 adult,null,"506,591"
RENO,"District 2, Ho Chi Minh City",7.3,km,8.4,1 adult,25m˝,"570,000"
Huy HoÖng Hotel,"Binh Thanh, Ho Chi Minh City",4.5,km,6.6,1 adult,null,"243,000"
INSTA-WORTHY Home @Ben Thanh @District 1,"District 1, Ho Chi Minh City",300,m,null,1 adult,null,"1,090,000"
MDHOTEL 2,"Binh Tan District, Ho Chi Minh City",12,km,6.1,1 adult,null,"306,000"
Serene Premier Apartment,"District 4, Ho Chi Minh City",1,km,null,1 adult,null,"1,814,400"
Ruby Hotel,"District 1, Ho Chi Minh City",250,m,8.5,1 adult,null,"916,789"
TammyROOM - Twin/double Deluxe,"Phu Nhuan, Ho Chi Minh City",3.4,km,8.5,1 adult,null,"495,000"
TripleTrees Apartment at Saigon Central - Rivergate Residence District 4,"District 4, Ho Chi Minh City",0.9,km,9.4,1 adult,42m˝,"1,300,000"
Two Beds Studio at City Center Ben Thanh Market Free Pool and Gym,"District 4, Ho Chi Minh City",1.1,km,null,1 adult,50m˝,"1,000,000"
Happy Dream Condontel,"District 4, Ho Chi Minh City",0.9,km,null,1 adult,74m˝,"1,600,000"
Vuong Tai Hotel,"District 1, Ho Chi Minh City",250,m,8,1 adult,null,"864,430"
Simon Houes,"Binh Thanh, Ho Chi Minh City",3.5,km,null,1 adult,55m˝,"1,500,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,1 adult,25m˝,"1,400,000"
C?n h? t?i Ph£ Nhu?n,"Tan Binh, Ho Chi Minh City",5.5,km,9,1 adult,null,"950,000"
MyWay139,"District 1, Ho Chi Minh City",1.4,km,null,1 adult,45m˝,"648,000"
?N T?NH Hotel,"District 11, Ho Chi Minh City",4.8,km,7.4,1 adult,null,"422,394"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,1 adult,null,"500,000"
Diamond Luxury Ben Thanh,"District 1, Ho Chi Minh City",250,m,9.4,1 adult,45m˝,"1,146,162"
My Anh 120 Central Saigon Hotel Ben Thanh Market,"District 1, Ho Chi Minh City",0.7,km,7.5,1 adult,null,"729,000"
0M - Masteri Thao Dien - Cityview Landmark81,"District 2, Ho Chi Minh City",5.6,km,null,1 adult,80m˝,"1,551,000"
Landmark - Homes by Christine,"Binh Thanh, Ho Chi Minh City",2.6,km,8.3,1 adult,50m˝,"675,000"
